acesso_id,cliente_id,dataHora,canal,sucesso,duracaoSegundos
AC0000001,CLI0784,2025-12-26T22:56:50,App,True,342
AC0000002,CLI0402,2026-02-09T21:40:41,App,True,422
AC0000003,CLI1255,2025-10-26T01:14:32,App,True,532
AC0000004,CLI1189,2026-01-23T04:03:21,App,True,695
AC0000005,CLI1149,2025-11-29T17:54:50,App,False,0
AC0000006,CLI1159,2025-11-29T05:24:45,App,True,255
AC0000007,CLI1478,2025-12-04T16:02:31,App,True,225
AC0000008,CLI0233,2026-02-22T11:02:10,WebApp,True,137
AC0000009,CLI0851,2025-12-27T07:56:30,App,True,397
AC0000010,CLI0119,2025-12-21T22:33:50,App,True,179
AC0000011,CLI0413,2025-09-08T11:18:25,WebApp,True,57
AC0000012,CLI1421,2025-11-29T00:12:24,App,True,225
AC0000013,CLI1341,2025-10-29T20:42:04,App,True,842
AC0000014,CLI1183,2025-11-13T01:18:30,App,True,189
AC0000015,CLI0286,2026-02-20T20:02:58,App,True,493
AC0000016,CLI1391,2025-11-08T03:45:31,WebApp,True,147
AC0000017,CLI0279,2025-10-04T04:47:59,WebApp,True,23
AC0000018,CLI0922,2025-11-19T04:59:33,App,True,252
AC0000019,CLI1024,2025-10-15T08:59:56,App,True,647
AC0000020,CLI1065,2025-10-16T20:11:32,App,True,155
AC0000021,CLI0755,2025-10-06T21:40:34,App,True,798
AC0000022,CLI1118,2025-10-20T18:23:09,App,True,600
AC0000023,CLI0079,2025-12-30T23:43:41,App,True,707
AC0000024,CLI0408,2025-12-29T19:22:58,App,True,879
AC0000025,CLI0241,2025-11-23T02:30:01,App,True,782
AC0000026,CLI0097,2025-11-10T15:43:22,App,True,500
AC0000027,CLI0908,2025-09-08T20:54:07,App,True,679
AC0000028,CLI1340,2025-11-03T03:56:53,App,True,661
AC0000029,CLI0689,2025-10-15T13:14:47,WebApp,True,337
AC0000030,CLI1204,2026-01-11T12:25:12,App,True,399
AC0000031,CLI1228,2025-11-14T11:54:40,WebApp,True,832
AC0000032,CLI1105,2025-09-19T09:23:06,App,True,362
AC0000033,CLI0122,2026-01-15T18:29:50,App,True,432
AC0000034,CLI0298,2025-10-24T07:52:08,App,True,284
AC0000035,CLI0389,2026-01-20T12:26:15,App,False,0
AC0000036,CLI0626,2025-12-08T03:29:29,WebApp,True,712
AC0000037,CLI0262,2026-01-06T14:00:14,App,True,609
AC0000038,CLI0259,2025-11-20T14:22:46,App,True,827
AC0000039,CLI0149,2025-10-23T18:59:20,WebApp,True,184
AC0000040,CLI1264,2026-02-11T00:53:23,App,True,489
AC0000041,CLI0152,2025-12-16T20:00:05,App,True,735
AC0000042,CLI1313,2025-12-10T20:15:06,App,True,841
AC0000043,CLI0366,2025-10-22T01:49:38,WebApp,True,235
AC0000044,CLI0414,2025-12-25T02:58:26,App,True,437
AC0000045,CLI0373,2025-09-07T09:02:44,App,True,409
AC0000046,CLI0740,2026-02-13T09:35:45,App,True,372
AC0000047,CLI1086,2025-11-08T09:30:20,App,True,618
AC0000048,CLI1460,2026-01-11T04:59:11,App,True,633
AC0000049,CLI0781,2025-12-17T20:28:52,App,True,626
AC0000050,CLI0604,2025-09-19T21:34:31,App,True,217
AC0000051,CLI1285,2025-12-29T18:29:52,App,True,750
AC0000052,CLI1334,2025-10-01T09:17:27,App,True,333
AC0000053,CLI0282,2026-01-29T07:11:06,WebApp,True,239
AC0000054,CLI0957,2026-02-05T05:41:50,App,True,214
AC0000055,CLI1180,2026-01-02T15:41:07,App,True,166
AC0000056,CLI0547,2025-09-16T13:37:42,App,True,574
AC0000057,CLI0279,2025-11-08T10:24:47,WebApp,True,784
AC0000058,CLI0081,2026-01-13T19:34:37,App,True,317
AC0000059,CLI1360,2026-01-17T11:54:10,App,False,0
AC0000060,CLI0118,2025-12-06T08:08:10,App,True,322
AC0000061,CLI1418,2025-11-11T08:54:35,App,True,26
AC0000062,CLI0385,2025-10-27T04:57:44,WebApp,True,693
AC0000063,CLI0112,2025-12-05T02:33:39,App,True,386
AC0000064,CLI1091,2025-12-12T02:09:56,App,True,160
AC0000065,CLI1405,2025-09-08T05:05:37,WebApp,True,122
AC0000066,CLI0376,2026-01-10T18:50:04,App,False,0
AC0000067,CLI1139,2026-02-10T21:58:26,App,True,648
AC0000068,CLI0325,2025-10-20T21:37:31,App,True,198
AC0000069,CLI0247,2025-10-19T11:03:23,App,True,548
AC0000070,CLI0933,2026-02-07T14:09:18,App,True,695
AC0000071,CLI1038,2026-01-09T21:32:09,App,True,539
AC0000072,CLI0295,2025-10-10T03:55:48,App,True,20
AC0000073,CLI0898,2025-09-23T15:52:04,App,True,521
AC0000074,CLI1026,2025-10-23T02:50:21,App,True,543
AC0000075,CLI0884,2026-01-20T11:20:33,WebApp,True,496
AC0000076,CLI1318,2026-02-16T13:32:59,App,False,0
AC0000077,CLI1416,2025-12-16T08:46:55,App,True,542
AC0000078,CLI0476,2025-09-20T20:48:43,App,True,628
AC0000079,CLI0944,2025-09-22T08:20:35,WebApp,True,542
AC0000080,CLI0679,2026-01-18T16:50:27,App,True,372
AC0000081,CLI0118,2025-11-05T01:24:00,App,False,0
AC0000082,CLI0793,2025-11-09T23:29:15,App,True,170
AC0000083,CLI0910,2025-10-30T07:19:09,App,True,607
AC0000084,CLI0074,2025-11-26T03:18:30,App,True,696
AC0000085,CLI0136,2026-02-22T18:44:50,App,True,494
AC0000086,CLI0605,2026-01-14T05:44:30,App,True,158
AC0000087,CLI0086,2025-09-14T23:31:03,WebApp,True,264
AC0000088,CLI1049,2025-12-02T18:11:39,App,True,94
AC0000089,CLI0392,2025-12-14T16:16:26,App,True,702
AC0000090,CLI0408,2025-10-29T23:41:40,App,True,327
AC0000091,CLI0069,2025-09-19T18:18:01,App,True,562
AC0000092,CLI0733,2026-02-02T00:54:04,App,True,787
AC0000093,CLI1042,2026-02-22T00:41:58,App,True,339
AC0000094,CLI0983,2025-09-17T23:58:40,WebApp,True,434
AC0000095,CLI1445,2025-12-21T09:23:07,WebApp,True,689
AC0000096,CLI0599,2025-12-08T08:33:43,WebApp,True,548
AC0000097,CLI0220,2026-01-24T17:37:50,App,True,98
AC0000098,CLI0227,2025-12-05T10:50:18,App,True,491
AC0000099,CLI0093,2025-11-01T23:35:18,App,True,363
AC0000100,CLI1296,2025-10-21T03:27:46,App,True,758
AC0000101,CLI0336,2025-12-13T18:14:08,App,True,728
AC0000102,CLI0532,2025-11-05T11:48:46,App,True,27
AC0000103,CLI0308,2025-12-28T07:25:17,App,True,225
AC0000104,CLI0787,2026-02-18T17:15:52,WebApp,True,770
AC0000105,CLI0019,2026-01-02T15:09:51,App,True,330
AC0000106,CLI0804,2025-09-07T15:41:38,App,True,288
AC0000107,CLI0966,2025-10-23T12:54:01,App,True,263
AC0000108,CLI0954,2026-01-30T18:18:11,App,True,864
AC0000109,CLI1382,2025-11-26T19:34:55,App,True,67
AC0000110,CLI0939,2025-09-11T11:06:18,App,True,83
