acao_id,acesso_id,tipo,dataHora,produto_id
ACAO00000001,AC0010445,ConsultarSaldo,2025-09-22T23:54:31,
ACAO00000002,AC0001946,ConsultarSaldo,2026-01-31T11:08:22,
ACAO00000003,AC0026146,VisualizarProduto,2026-01-30T13:12:47,PR05
ACAO00000004,AC0051912,ConsultarSaldo,2025-12-09T05:42:16,
ACAO00000005,AC0006344,PagarPix,2026-02-12T00:58:23,
ACAO00000006,AC0037398,ConsultarExtrato,2026-01-20T16:27:24,
ACAO00000007,AC0027838,ConsultarExtrato,2026-02-10T14:43:23,
ACAO00000008,AC0045293,VisualizarProduto,2026-01-21T14:32:52,PR06
ACAO00000009,AC0001031,ConsultarSaldo,2025-12-30T13:17:01,
ACAO00000010,AC0040641,PagarPix,2025-11-16T14:12:32,
ACAO00000011,AC0035637,ConsultarExtrato,2025-10-22T02:37:10,
ACAO00000012,AC0033115,VisualizarProduto,2026-01-10T21:07:50,PR04
ACAO00000013,AC0020029,IniciarContratacao,2025-11-08T20:45:13,PR05
ACAO00000014,AC0041779,ConsultarExtrato,2026-01-18T17:28:42,
ACAO00000015,AC0015824,ConsultarExtrato,2025-10-22T05:06:32,
ACAO00000016,AC0043952,ConsultarSaldo,2025-09-06T16:35:33,
ACAO00000017,AC0028321,PagarPix,2025-12-19T02:54:14,
ACAO00000018,AC0016376,AlterarDadosCadastrais,2025-09-09T20:21:57,
ACAO00000019,AC0019721,PagarPix,2025-09-27T23:26:22,
ACAO00000020,AC0047620,IniciarContratacao,2025-12-04T03:43:30,PR08
ACAO00000021,AC0020701,ConsultarExtrato,2026-02-03T23:23:02,
ACAO00000022,AC0050129,ConsultarSaldo,2025-12-10T23:01:53,
ACAO00000023,AC0041418,AlterarDadosCadastrais,2026-01-11T19:59:09,
ACAO00000024,AC0021120,ConsultarSaldo,2025-09-23T08:03:05,
ACAO00000025,AC0019203,ConsultarExtrato,2025-09-03T15:24:56,
ACAO00000026,AC0035010,ConsultarSaldo,2025-09-05T06:21:27,
ACAO00000027,AC0024685,ConsultarExtrato,2025-09-25T04:39:48,
ACAO00000028,AC0023249,IniciarContratacao,2025-10-08T02:46:49,PR08
ACAO00000029,AC0002726,SimularEmprestimo,2025-10-28T23:35:54,PR02
ACAO00000030,AC0016397,ConsultarExtrato,2025-11-18T17:17:48,
ACAO00000031,AC0047819,VisualizarProduto,2025-09-28T03:04:39,PR07
ACAO00000032,AC0048696,SimularEmprestimo,2025-09-07T05:41:07,PR02
ACAO00000033,AC0023361,IniciarContratacao,2025-09-05T13:49:15,PR02
ACAO00000034,AC0005099,AlterarDadosCadastrais,2025-12-27T11:07:18,
ACAO00000035,AC0029032,VisualizarProduto,2025-11-24T02:42:03,PR03
ACAO00000036,AC0015641,SimularEmprestimo,2025-09-21T04:10:29,PR10
ACAO00000037,AC0050117,SimularEmprestimo,2025-12-22T10:20:32,PR06
ACAO00000038,AC0003529,PagarPix,2025-11-12T13:14:30,
ACAO00000039,AC0050782,VisualizarProduto,2025-10-03T07:46:08,PR07
ACAO00000040,AC0045019,IniciarContratacao,2025-12-06T23:01:46,PR02
ACAO00000041,AC0019662,ConsultarSaldo,2026-01-22T12:24:21,
ACAO00000042,AC0050419,PagarPix,2026-02-12T11:40:08,
ACAO00000043,AC0036267,PagarPix,2026-02-08T02:49:05,
ACAO00000044,AC0049701,PagarPix,2026-02-07T07:53:01,
ACAO00000045,AC0026672,ConsultarSaldo,2025-11-20T08:54:11,
ACAO00000046,AC0026546,ConsultarExtrato,2025-12-27T23:35:13,
ACAO00000047,AC0006797,ConsultarExtrato,2026-01-15T20:48:28,
ACAO00000048,AC0011128,ConsultarSaldo,2025-12-02T23:44:46,
ACAO00000049,AC0019454,ConsultarSaldo,2025-12-18T22:45:23,
ACAO00000050,AC0030162,VisualizarProduto,2026-02-22T21:03:39,PR06
ACAO00000051,AC0030872,AbrirChamado,2026-01-08T22:06:30,
ACAO00000052,AC0004081,VisualizarProduto,2026-02-07T12:12:48,PR08
ACAO00000053,AC0003817,PagarPix,2026-01-28T18:13:52,
ACAO00000054,AC0026674,ConsultarExtrato,2025-11-02T12:39:38,
ACAO00000055,AC0014938,SimularEmprestimo,2026-01-12T22:20:38,PR01
ACAO00000056,AC0048896,ConsultarSaldo,2025-12-12T22:36:31,
ACAO00000057,AC0005817,IniciarContratacao,2025-12-22T13:44:08,PR02
ACAO00000058,AC0023486,ConsultarSaldo,2025-09-08T16:19:23,
ACAO00000059,AC0031851,VisualizarProduto,2025-09-16T17:10:17,PR07
ACAO00000060,AC0013562,VisualizarProduto,2025-11-28T23:24:27,PR06
ACAO00000061,AC0051809,ConsultarSaldo,2025-09-10T00:13:07,
ACAO00000062,AC0043378,ConsultarSaldo,2025-11-02T21:09:37,
ACAO00000063,AC0021757,PagarPix,2026-01-05T04:07:34,
ACAO00000064,AC0034327,ConsultarExtrato,2025-10-27T23:19:34,
ACAO00000065,AC0045555,PagarPix,2026-02-22T16:15:06,
ACAO00000066,AC0035337,ConsultarExtrato,2025-10-26T18:20:55,
ACAO00000067,AC0032677,ConsultarExtrato,2025-12-10T06:37:35,
ACAO00000068,AC0049275,PagarPix,2025-11-20T15:20:33,
ACAO00000069,AC0018420,ConsultarSaldo,2025-10-20T16:58:11,
ACAO00000070,AC0009688,ConsultarSaldo,2026-02-21T09:00:03,
ACAO00000071,AC0014435,ConsultarSaldo,2025-11-14T19:50:00,
ACAO00000072,AC0031652,PagarPix,2025-12-30T11:51:40,
ACAO00000073,AC0042524,IniciarContratacao,2026-03-01T06:55:23,PR05
ACAO00000074,AC0010767,ConsultarSaldo,2025-10-06T06:15:16,
ACAO00000075,AC0032932,VisualizarProduto,2025-12-07T17:44:20,PR10
ACAO00000076,AC0043116,IniciarContratacao,2025-09-28T18:51:22,PR02
ACAO00000077,AC0027346,ConsultarExtrato,2025-09-07T14:38:05,
ACAO00000078,AC0002683,ConsultarSaldo,2026-02-23T21:26:16,
ACAO00000079,AC0004559,ConsultarExtrato,2026-01-04T09:58:34,
ACAO00000080,AC0011339,ConsultarSaldo,2025-11-20T06:13:49,
ACAO00000081,AC0017906,AbrirChamado,2025-11-15T10:20:32,
ACAO00000082,AC0010531,ConsultarExtrato,2026-02-21T23:40:50,
ACAO00000083,AC0041594,AlterarDadosCadastrais,2025-12-18T00:45:37,
ACAO00000084,AC0006847,VisualizarProduto,2026-02-05T18:54:15,PR09
ACAO00000085,AC0018946,VisualizarProduto,2025-12-07T04:55:40,PR06
ACAO00000086,AC0008677,SimularEmprestimo,2025-10-24T05:55:03,PR01
ACAO00000087,AC0016466,SimularEmprestimo,2025-11-18T20:17:58,PR07
ACAO00000088,AC0030903,ConsultarSaldo,2026-01-27T05:58:04,
ACAO00000089,AC0028262,IniciarContratacao,2025-11-15T03:10:47,PR05
ACAO00000090,AC0042988,ConsultarSaldo,2025-12-13T18:01:45,
ACAO00000091,AC0044984,PagarPix,2025-09-29T03:56:04,
ACAO00000092,AC0010930,ConsultarExtrato,2025-09-17T05:24:32,
ACAO00000093,AC0047127,ConsultarExtrato,2025-12-30T14:59:57,
ACAO00000094,AC0019829,ConsultarExtrato,2025-11-09T19:11:27,
ACAO00000095,AC0000135,PagarPix,2025-09-21T00:23:18,
ACAO00000096,AC0038997,SimularEmprestimo,2025-11-13T17:48:28,PR05
ACAO00000097,AC0006265,ConsultarExtrato,2025-09-16T02:19:55,
ACAO00000098,AC0043465,PagarPix,2025-11-08T00:26:58,
ACAO00000099,AC0023915,ConsultarSaldo,2026-02-19T02:08:55,
ACAO00000100,AC0001425,ConsultarExtrato,2025-09-17T08:38:17,
ACAO00000101,AC0049443,ConsultarExtrato,2026-02-25T07:02:24,
ACAO00000102,AC0037774,ConsultarExtrato,2025-09-25T19:33:22,
ACAO00000103,AC0000677,ConsultarExtrato,2026-01-09T21:27:15,
ACAO00000104,AC0025036,IniciarContratacao,2026-01-27T08:18:33,PR04
ACAO00000105,AC0015045,AbrirChamado,2025-11-15T20:53:16,
ACAO00000106,AC0026518,VisualizarProduto,2025-12-25T18:10:54,PR07
ACAO00000107,AC0046716,PagarPix,2025-09-29T13:06:03,
ACAO00000108,AC0013003,PagarPix,2026-02-18T16:33:52,
ACAO00000109,AC0047817,SimularEmprestimo,2026-01-14T15:55:13,PR01
ACAO00000110,AC0021405,ConsultarExtrato,2025-12-19T10:21:37,
ACAO00000111,AC0036233,AbrirChamado,2025-09-03T21:27:48,
ACAO00000112,AC0023590,PagarPix,2025-10-20T05:27:57,
ACAO00000113,AC0003909,IniciarContratacao,2026-02-14T21:04:32,PR05
ACAO00000114,AC0048779,IniciarContratacao,2025-12-11T20:57:47,PR10
ACAO00000115,AC0022768,SimularEmprestimo,2025-11-08T16:17:51,PR10
ACAO00000116,AC0006092,ConsultarExtrato,2025-10-01T15:58:10,
ACAO00000117,AC0027050,PagarPix,2025-11-15T08:04:34,
ACAO00000118,AC0047896,VisualizarProduto,2026-02-03T10:16:31,PR03
ACAO00000119,AC0039305,PagarPix,2026-01-08T16:33:34,
ACAO00000120,AC0034740,ConsultarExtrato,2025-10-21T18:01:16,
ACAO00000121,AC0024869,ConsultarExtrato,2025-10-02T04:07:55,
ACAO00000122,AC0000764,VisualizarProduto,2025-10-04T18:06:34,PR04
ACAO00000123,AC0038005,SimularEmprestimo,2026-02-25T04:31:42,PR07
ACAO00000124,AC0027896,AbrirChamado,2026-01-25T16:27:03,
ACAO00000125,AC0040291,ConsultarSaldo,2025-10-21T14:37:50,
