chamado_id,cliente_id,canal,assunto,severidade,status,abertoEm,resolvidoEm,tempoResolucaoHoras,satisfacao,transacaoDisputadaId
CH0000001,CLI0433,App,Dúvida sobre fatura,Média,Resolvido,2025-09-04T06:46:30,2025-09-05T01:46:30,19,1,
CH0000002,CLI0843,Chat,Solicitação de cancelamento,Média,Resolvido,2025-11-12T06:11:57,2025-11-15T23:11:57,89,4,
CH0000003,CLI0473,App,Dúvida sobre produto,Alta,Em Andamento,2025-11-11T14:31:10,,,,
CH0000004,CLI0885,Chat,Reclamação de atendimento,Baixa,Em Andamento,2025-09-16T12:23:55,,,,
CH0000005,CLI0026,App,Problema no aplicativo,Baixa,Resolvido,2025-10-20T19:01:13,2025-10-24T15:01:13,92,5,
CH0000006,CLI0096,Telefone,Solicitação de cancelamento,Alta,Resolvido,2025-10-16T20:46:44,2025-10-18T04:46:44,32,5,
CH0000007,CLI0798,Agência,Reclamação de atendimento,Média,Cancelado,2026-01-21T22:28:47,,,,
CH0000008,CLI0262,App,Solicitação de cancelamento,Baixa,Resolvido,2025-10-31T01:58:16,2025-11-01T04:58:16,27,3,
CH0000009,CLI0387,Chat,Dúvida sobre fatura,Baixa,Resolvido,2026-01-22T04:56:07,2026-01-22T08:56:07,4,1,
CH0000010,CLI0627,Telefone,Elogio ao atendimento,Baixa,Resolvido,2025-10-13T05:05:22,2025-10-15T00:05:22,43,1,
CH0000011,CLI1113,Chat,Solicitação de cancelamento,Baixa,Resolvido,2026-01-29T11:58:36,2026-01-31T10:58:36,47,4,
CH0000012,CLI0519,Chat,Contestação de transação,Alta,Resolvido,2026-02-07T02:59:09,2026-02-10T00:59:09,70,5,TX0013789
CH0000013,CLI0791,App,Contestação de transação,Baixa,Resolvido,2026-01-16T13:56:28,2026-01-20T07:56:28,90,2,TX0004057
CH0000014,CLI1247,Telefone,Contestação de transação,Baixa,Em Andamento,2025-09-16T09:10:43,,,,TX0010665
CH0000015,CLI0200,Chat,Contestação de transação,Baixa,Resolvido,2026-01-04T11:10:00,2026-01-04T23:10:00,12,5,TX0023880
CH0000016,CLI0042,Telefone,Dúvida sobre fatura,Alta,Resolvido,2025-10-16T17:24:33,2025-10-16T21:24:33,4,1,
CH0000017,CLI1241,Telefone,Alteração cadastral,Baixa,Resolvido,2025-10-21T12:28:57,2025-10-23T12:28:57,48,4,
CH0000018,CLI1174,Telefone,Elogio ao atendimento,Média,Cancelado,2026-02-13T11:13:23,,,,
CH0000019,CLI0982,Agência,Elogio ao atendimento,Baixa,Resolvido,2025-12-18T04:27:16,2025-12-21T17:27:16,85,1,
CH0000020,CLI0773,Chat,Solicitação de cancelamento,Baixa,Resolvido,2025-10-31T00:44:31,2025-11-03T10:44:31,82,1,
CH0000021,CLI0417,Agência,Dúvida sobre fatura,Média,Em Andamento,2025-10-01T14:59:31,,,,
CH0000022,CLI0070,App,Contestação de transação,Baixa,Resolvido,2025-11-26T04:34:42,2025-11-29T07:34:42,75,1,TX0002608
CH0000023,CLI0320,Telefone,Elogio ao atendimento,Baixa,Em Andamento,2026-01-07T03:54:16,,,,
CH0000024,CLI0437,Chat,Contestação de transação,Baixa,Em Andamento,2025-12-29T12:27:42,,,,TX0016418
CH0000025,CLI0302,App,Contestação de transação,Baixa,Resolvido,2025-12-25T13:21:44,2025-12-27T08:21:44,43,1,TX0004802
CH0000026,CLI0329,Chat,Elogio ao atendimento,Baixa,Resolvido,2025-09-10T04:25:04,2025-09-10T21:25:04,17,1,
CH0000027,CLI0518,Chat,Contestação de transação,Baixa,Resolvido,2026-02-23T23:02:12,2026-02-24T16:02:12,17,5,TX0012819
CH0000028,CLI0483,Telefone,Problema no aplicativo,Baixa,Em Andamento,2025-10-08T13:51:23,,,,
CH0000029,CLI0951,Telefone,Problema no aplicativo,Média,Resolvido,2025-10-25T08:22:36,2025-10-28T04:22:36,68,4,
CH0000030,CLI0643,App,Dúvida sobre fatura,Baixa,Resolvido,2025-12-08T17:17:12,2025-12-12T11:17:12,90,1,
CH0000031,CLI0358,Chat,Dúvida sobre produto,Alta,Resolvido,2025-10-01T20:44:54,2025-10-02T14:44:54,18,2,
CH0000032,CLI1123,Telefone,Elogio ao atendimento,Baixa,Resolvido,2025-12-14T19:52:11,2025-12-15T07:52:11,12,3,
CH0000033,CLI0339,Telefone,Reclamação de atendimento,Baixa,Em Andamento,2025-11-15T07:59:08,,,,
CH0000034,CLI0328,Telefone,Contestação de transação,Baixa,Resolvido,2026-01-09T13:20:05,2026-01-11T12:20:05,47,2,TX0011834
CH0000035,CLI0415,App,Elogio ao atendimento,Alta,Em Andamento,2025-11-13T13:10:55,,,,
CH0000036,CLI0703,Telefone,Dúvida sobre produto,Alta,Resolvido,2025-11-01T04:39:32,2025-11-01T11:39:32,7,5,
CH0000037,CLI0155,Telefone,Dúvida sobre fatura,Baixa,Resolvido,2026-02-05T12:35:25,2026-02-07T15:35:25,51,2,
CH0000038,CLI0780,Telefone,Elogio ao atendimento,Baixa,Em Andamento,2025-11-16T15:02:34,,,,
CH0000039,CLI1062,E-mail,Problema no aplicativo,Baixa,Resolvido,2026-02-11T14:19:04,2026-02-11T21:19:04,7,5,
CH0000040,CLI1271,Chat,Contestação de transação,Alta,Resolvido,2025-09-05T09:46:37,2025-09-07T09:46:37,48,3,TX0013770
CH0000041,CLI0547,App,Alteração cadastral,Baixa,Resolvido,2026-01-12T11:11:50,2026-01-16T03:11:50,88,5,
CH0000042,CLI1215,App,Reclamação de atendimento,Baixa,Aberto,2026-02-25T13:08:27,,,,
CH0000043,CLI0284,App,Dúvida sobre produto,Baixa,Resolvido,2025-09-04T12:55:44,2025-09-07T12:55:44,72,2,
CH0000044,CLI0034,App,Reclamação de atendimento,Baixa,Resolvido,2026-02-21T12:27:30,2026-02-23T10:27:30,46,1,
CH0000045,CLI0293,Chat,Dúvida sobre produto,Baixa,Em Andamento,2025-12-28T20:26:56,,,,
CH0000046,CLI1278,App,Reclamação de atendimento,Baixa,Resolvido,2026-02-18T00:00:34,2026-02-21T05:00:34,77,2,
CH0000047,CLI0506,Chat,Elogio ao atendimento,Baixa,Resolvido,2026-02-04T03:22:39,2026-02-07T13:22:39,82,1,
CH0000048,CLI1040,Telefone,Problema no aplicativo,Baixa,Resolvido,2026-01-22T06:57:07,2026-01-25T02:57:07,68,4,
CH0000049,CLI1047,Chat,Elogio ao atendimento,Baixa,Resolvido,2025-09-02T08:33:23,2025-09-02T20:33:23,12,5,
CH0000050,CLI1249,App,Solicitação de cancelamento,Média,Resolvido,2025-09-08T21:14:38,2025-09-09T09:14:38,12,3,
CH0000051,CLI0031,Chat,Elogio ao atendimento,Baixa,Resolvido,2026-02-28T18:48:08,2026-03-01T03:48:08,9,3,
CH0000052,CLI1258,App,Contestação de transação,Baixa,Resolvido,2025-12-01T10:12:10,2025-12-04T17:12:10,79,1,TX0002100
CH0000053,CLI0690,Agência,Alteração cadastral,Baixa,Resolvido,2026-01-09T17:29:56,2026-01-12T01:29:56,56,1,
CH0000054,CLI0948,Chat,Elogio ao atendimento,Baixa,Resolvido,2026-02-27T06:04:23,2026-02-28T08:04:23,26,4,
CH0000055,CLI1062,E-mail,Alteração cadastral,Alta,Resolvido,2026-02-13T11:46:38,2026-02-15T10:46:38,47,5,
CH0000056,CLI0982,Telefone,Solicitação de cancelamento,Média,Cancelado,2025-09-10T14:56:41,,,,
CH0000057,CLI0162,Chat,Dúvida sobre fatura,Baixa,Em Andamento,2025-09-25T04:18:23,,,,
CH0000058,CLI0067,Telefone,Elogio ao atendimento,Média,Resolvido,2026-02-01T17:02:44,2026-02-03T08:02:44,39,5,
CH0000059,CLI0611,Telefone,Alteração cadastral,Baixa,Resolvido,2026-01-14T13:47:30,2026-01-17T09:47:30,68,3,
CH0000060,CLI0832,App,Elogio ao atendimento,Baixa,Resolvido,2025-09-07T11:20:35,2025-09-08T04:20:35,17,4,
CH0000061,CLI0787,App,Dúvida sobre fatura,Baixa,Resolvido,2025-10-21T15:31:31,2025-10-23T13:31:31,46,5,
CH0000062,CLI1102,Chat,Dúvida sobre produto,Baixa,Em Andamento,2025-09-13T16:42:32,,,,
CH0000063,CLI0369,App,Dúvida sobre fatura,Alta,Resolvido,2025-09-06T20:45:30,2025-09-08T17:45:30,45,3,
CH0000064,CLI0341,App,Contestação de transação,Baixa,Aberto,2025-12-30T14:35:22,,,,TX0022156
CH0000065,CLI0346,App,Alteração cadastral,Média,Resolvido,2025-09-18T20:56:54,2025-09-19T04:56:54,8,2,
CH0000066,CLI1253,App,Solicitação de cancelamento,Baixa,Resolvido,2026-01-05T05:35:35,2026-01-08T00:35:35,67,2,
CH0000067,CLI0310,App,Elogio ao atendimento,Média,Em Andamento,2026-01-03T14:04:03,,,,
CH0000068,CLI0640,Chat,Elogio ao atendimento,Baixa,Resolvido,2025-12-30T02:35:13,2026-01-02T12:35:13,82,2,
CH0000069,CLI0732,App,Alteração cadastral,Baixa,Resolvido,2025-12-29T12:02:06,2026-01-01T14:02:06,74,5,
CH0000070,CLI0192,App,Solicitação de cancelamento,Baixa,Resolvido,2025-10-10T23:05:08,2025-10-12T22:05:08,47,3,
CH0000071,CLI0114,Chat,Dúvida sobre fatura,Baixa,Resolvido,2025-11-30T16:31:18,2025-12-03T17:31:18,73,4,
CH0000072,CLI1218,Telefone,Problema no aplicativo,Baixa,Em Andamento,2025-12-09T05:53:47,,,,
