cliente_id,produto_id,vezes,valorTotal,ultimoUso
CLI0001,PR01,11,3459.73,2025-06-06
CLI0001,PR08,11,8963.36,2025-04-18
CLI0002,PR01,3,2662.15,2025-05-04
CLI0002,PR05,3,1220.01,2025-02-11
CLI0003,PR03,8,1263.62,2025-02-01
CLI0003,PR07,3,662.75,2025-12-13
CLI0004,PR03,12,10309.23,2025-12-02
CLI0005,PR03,5,3753.0,2026-02-06
CLI0005,PR10,1,469.89,2025-12-05
CLI0006,PR01,1,498.62,2025-03-01
CLI0006,PR08,4,3250.63,2025-06-10
CLI0007,PR06,1,679.5,2025-12-30
CLI0007,PR07,11,966.4,2026-01-16
CLI0007,PR10,4,1655.55,2025-11-25
CLI0008,PR04,8,2186.48,2026-02-13
CLI0008,PR05,8,1524.77,2025-08-10
CLI0008,PR10,11,895.05,2025-01-10
CLI0009,PR01,8,2808.2,2025-09-15
CLI0009,PR09,1,690.07,2026-01-14
CLI0010,PR08,4,3294.48,2025-07-18
CLI0011,PR02,9,1625.64,2025-11-19
CLI0012,PR02,1,723.03,2025-05-17
CLI0012,PR03,2,765.6,2025-10-09
CLI0012,PR04,2,1685.76,2026-02-06
CLI0012,PR09,12,2453.28,2025-02-16
CLI0013,PR03,12,8105.59,2025-06-08
CLI0013,PR05,1,106.6,2025-10-23
CLI0013,PR08,6,3077.64,2026-02-16
CLI0014,PR02,3,1109.47,2026-01-31
CLI0014,PR03,8,4958.39,2025-05-28
CLI0015,PR04,8,7066.9,2025-07-10
CLI0015,PR09,8,2224.56,2026-01-18
CLI0016,PR01,11,4539.61,2025-03-18
CLI0016,PR03,10,8279.01,2026-01-13
CLI0017,PR05,10,6735.7,2026-01-24
CLI0017,PR08,3,1064.88,2025-05-28
CLI0018,PR07,8,6356.0,2025-12-05
CLI0018,PR10,1,504.77,2026-02-04
CLI0019,PR02,4,2935.42,2025-10-29
CLI0019,PR08,1,544.81,2025-10-01
CLI0020,PR03,4,1953.2,2025-09-21
CLI0020,PR07,6,2086.0,2025-08-16
CLI0021,PR02,2,1132.18,2025-04-16
CLI0022,PR01,8,3281.34,2025-07-04
CLI0022,PR07,1,366.39,2026-02-10
CLI0023,PR05,11,4445.94,2025-06-07
CLI0024,PR01,9,4203.15,2025-11-18
CLI0024,PR05,1,823.16,2025-11-19
CLI0025,PR03,2,537.48,2025-11-27
CLI0025,PR04,3,769.73,2025-12-01
CLI0026,PR01,5,813.51,2025-04-21
CLI0026,PR05,3,983.13,2026-01-23
CLI0027,PR07,3,1010.58,2025-05-24
CLI0028,PR05,3,773.97,2025-01-31
CLI0029,PR01,9,4670.97,2025-11-28
CLI0029,PR02,9,4077.46,2026-01-03
CLI0030,PR03,5,3825.2,2025-04-19
CLI0030,PR09,7,5802.34,2025-11-09
CLI0030,PR10,4,1428.63,2025-08-16
CLI0031,PR01,9,3872.72,2025-05-30
CLI0031,PR02,5,419.59,2025-12-12
CLI0031,PR04,2,1049.64,2025-01-21
CLI0031,PR06,9,1671.67,2025-05-28
CLI0032,PR06,7,656.22,2025-11-06
CLI0033,PR08,11,962.82,2025-06-14
CLI0033,PR09,7,4796.92,2025-01-07
CLI0034,PR02,3,2064.67,2025-01-21
CLI0034,PR08,7,4875.36,2025-04-19
CLI0035,PR01,12,7570.18,2025-03-03
CLI0035,PR08,4,543.71,2025-02-20
CLI0035,PR09,5,1880.84,2025-08-06
CLI0036,PR03,3,1968.76,2025-10-19
CLI0036,PR06,10,8823.37,2025-07-02
CLI0036,PR08,11,8236.62,2026-02-05
CLI0037,PR02,10,3166.15,2025-10-07
CLI0037,PR08,5,2043.51,2026-01-13
CLI0038,PR01,8,6529.91,2025-05-12
CLI0038,PR05,2,1412.94,2025-06-16
CLI0039,PR05,2,1460.24,2026-01-23
CLI0039,PR10,2,1281.51,2026-01-08
CLI0040,PR02,2,1037.06,2025-09-11
CLI0040,PR03,8,5668.43,2026-02-26
CLI0041,PR02,11,2989.86,2025-04-18
CLI0041,PR03,1,680.29,2025-06-24
CLI0041,PR06,6,1101.46,2025-03-02
CLI0042,PR01,7,4596.86,2026-01-08
CLI0042,PR05,12,5156.2,2025-07-12
CLI0043,PR01,2,1639.45,2025-02-06
CLI0043,PR05,3,2144.65,2025-02-12
CLI0044,PR07,11,2866.33,2025-11-29
CLI0044,PR10,6,2518.12,2025-07-01
CLI0045,PR07,12,8858.59,2025-03-28
CLI0046,PR05,9,6690.66,2025-03-06
CLI0047,PR02,11,4861.56,2025-04-26
CLI0047,PR03,11,2496.22,2025-09-23
CLI0048,PR01,8,834.88,2026-02-01
CLI0048,PR02,4,1695.27,2025-11-08
CLI0048,PR04,9,4120.52,2025-08-02
CLI0049,PR02,5,3443.75,2025-07-11
CLI0049,PR03,9,3560.63,2025-11-19
CLI0049,PR07,11,2496.48,2025-02-19
CLI0049,PR08,2,391.96,2025-02-03
CLI0050,PR02,12,8592.95,2025-05-22
CLI0050,PR03,3,825.52,2026-01-18
CLI0051,PR02,11,5268.51,2025-04-19
CLI0051,PR03,8,777.98,2026-02-18
CLI0051,PR05,12,2822.66,2025-11-14
CLI0051,PR09,6,4085.06,2025-08-16
CLI0052,PR01,7,4443.07,2025-11-27
CLI0052,PR05,9,3813.39,2025-05-17
CLI0052,PR09,12,8748.47,2025-12-02
CLI0053,PR01,6,3228.88,2025-03-18
CLI0053,PR08,6,3245.7,2025-11-14
CLI0053,PR09,2,1006.81,2025-11-27
CLI0054,PR01,11,1123.66,2025-02-23
CLI0054,PR07,1,339.45,2025-01-02
CLI0054,PR08,4,2362.26,2025-01-31
CLI0054,PR09,1,211.63,2025-12-16
CLI0055,PR06,8,1401.89,2025-05-16
CLI0055,PR10,8,739.57,2025-02-08
CLI0056,PR01,7,1326.55,2025-10-07
CLI0056,PR05,4,1087.06,2025-10-10
CLI0056,PR07,7,5469.75,2025-11-01
CLI0057,PR03,1,164.34,2025-09-24
CLI0057,PR04,10,5898.58,2025-09-01
CLI0058,PR05,6,2259.64,2025-02-09
CLI0058,PR08,2,629.9,2025-08-29
CLI0059,PR03,5,3190.08,2025-11-25
CLI0059,PR04,4,3466.45,2025-12-06
CLI0059,PR05,4,1606.23,2026-01-17
CLI0060,PR01,2,1167.12,2025-07-24
CLI0060,PR05,10,5045.44,2025-04-08
CLI0061,PR01,12,5662.18,2025-07-23
CLI0061,PR09,3,984.08,2025-09-07
CLI0062,PR02,12,5282.86,2025-10-06
CLI0062,PR09,8,6529.76,2025-05-22
CLI0062,PR10,8,2020.99,2026-02-04
CLI0063,PR10,11,1250.21,2026-02-03
CLI0064,PR02,4,1325.17,2025-06-06
CLI0065,PR02,5,787.19,2025-01-29
CLI0066,PR02,5,3716.47,2025-09-27
CLI0066,PR03,8,2982.16,2026-01-05
CLI0066,PR04,12,10704.61,2025-03-20
CLI0067,PR04,3,2617.48,2025-09-18
CLI0067,PR08,5,818.46,2025-09-22
CLI0068,PR01,2,554.82,2025-05-26
CLI0068,PR08,10,1318.89,2025-06-04
CLI0069,PR03,5,1246.62,2025-10-22
CLI0069,PR07,7,5578.69,2025-02-17
CLI0069,PR10,6,1689.95,2025-10-26
CLI0070,PR10,5,1060.98,2025-07-05
CLI0071,PR05,11,7251.41,2025-01-27
CLI0072,PR04,3,605.02,2025-07-06
CLI0073,PR03,7,5835.39,2025-03-22
CLI0073,PR08,4,1200.35,2025-02-24
CLI0074,PR02,8,6543.02,2025-06-24
CLI0074,PR10,1,896.13,2025-07-21
CLI0075,PR01,5,3680.34,2025-09-24
CLI0076,PR09,12,4355.7,2025-04-28
CLI0077,PR01,7,3662.22,2025-06-10
CLI0077,PR09,2,759.81,2026-02-07
CLI0078,PR07,9,3027.23,2025-02-13
CLI0079,PR04,11,2167.1,2025-06-22
CLI0079,PR09,6,2352.18,2025-03-24
CLI0080,PR01,11,9423.08,2025-12-06
CLI0080,PR02,2,654.86,2025-01-11
CLI0080,PR09,10,7942.2,2025-05-09
CLI0081,PR03,5,2625.57,2025-11-25
CLI0081,PR07,6,1993.73,2025-07-08
CLI0082,PR03,3,277.99,2025-02-03
