cliente_id,device_id,modelo,sistemaOperacional,primeiroAcesso,ultimoAcesso
CLI0001,DEV0001,Redmi Note 12,Android 13,2022-08-06,2025-08-03
CLI0002,DEV0002,iPhone 14,iOS 17,2022-06-28,2025-05-15
CLI0003,DEV0003,iPhone 15,iOS 18,2022-09-05,2025-01-13
CLI0004,DEV0004,Redmi Note 12,Android 13,2024-02-04,2025-10-13
CLI0005,DEV0005,Moto G84,Android 14,2022-03-23,2025-04-29
CLI0006,DEV0006,Galaxy S23,Android 14,2022-05-03,2025-09-19
CLI0007,DEV0007,Galaxy S23,Android 14,2022-10-08,2025-06-13
CLI0008,DEV0008,Galaxy A54,Android 13,2024-09-07,2025-04-20
CLI0009,DEV0009,Redmi Note 12,Android 13,2022-09-18,2025-09-19
CLI0010,DEV0010,Moto G84,Android 14,2022-12-04,2025-05-07
CLI0011,DEV0011,Galaxy A54,Android 13,2022-05-03,2026-01-21
CLI0012,DEV0012,Redmi Note 12,Android 13,2024-02-05,2025-07-20
CLI0013,DEV0013,Galaxy A54,Android 13,2022-11-19,2025-05-04
CLI0014,DEV0014,Moto G84,Android 14,2022-03-05,2025-08-02
CLI0015,DEV0015,Galaxy S23,Android 14,2024-03-16,2025-05-24
CLI0016,DEV0061,Galaxy A54,Android 13,2023-06-02,2025-09-07
CLI0017,DEV0017,iPhone 14,iOS 17,2024-09-29,2025-06-25
CLI0018,DEV0018,Galaxy S23,Android 14,2023-08-15,2025-11-01
CLI0019,DEV0019,Galaxy S23,Android 14,2023-09-20,2025-04-09
CLI0020,DEV0020,Redmi Note 12,Android 13,2023-01-21,2026-01-29
CLI0021,DEV0021,Redmi Note 12,Android 13,2023-10-20,2025-04-15
CLI0022,DEV0022,Redmi Note 12,Android 13,2023-05-21,2025-04-16
CLI0023,DEV0023,iPhone 15,iOS 18,2024-03-13,2025-09-05
CLI0024,DEV0024,iPhone 15,iOS 18,2023-06-06,2025-11-07
CLI0025,DEV0025,iPhone 14,iOS 17,2023-01-22,2026-02-20
CLI0026,DEV0026,Moto G84,Android 14,2024-05-11,2025-04-12
CLI0027,DEV0027,Galaxy A54,Android 13,2024-03-03,2025-06-10
CLI0028,DEV0099,Pixel 8,Android 14,2022-12-03,2025-05-09
CLI0029,DEV0029,Redmi Note 12,Android 13,2024-05-16,2025-04-15
CLI0030,DEV0030,Galaxy S23,Android 14,2023-07-22,2025-05-26
CLI0031,DEV0031,Galaxy S23,Android 14,2023-04-30,2025-03-19
CLI0032,DEV0032,Pixel 8,Android 14,2024-02-24,2025-04-15
CLI0033,DEV0033,Pixel 8,Android 14,2024-09-22,2025-03-05
CLI0034,DEV0034,Moto G84,Android 14,2022-12-06,2025-03-30
CLI0035,DEV0035,Galaxy A54,Android 13,2024-03-02,2025-08-17
CLI0036,DEV0144,iPhone 14,iOS 17,2023-12-01,2025-04-16
CLI0037,DEV0037,Pixel 8,Android 14,2023-07-11,2025-04-16
