cliente_id,location_id,cidade,estado,latitude,longitude
CLI0001,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0002,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0003,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0004,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0005,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0006,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0007,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0008,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0009,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0010,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0011,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0012,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0013,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0014,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0015,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0016,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0017,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0018,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0019,LOC_RECIFE,Recife,PE,-8.0476,-34.877
CLI0020,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0021,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0022,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0023,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0024,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0025,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0026,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0027,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0028,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0029,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0030,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0031,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0032,LOC_BELO_HORIZONTE,Belo Horizonte,MG,-19.9167,-43.9345
CLI0033,LOC_RIO_DE_JANEIRO,Rio de Janeiro,RJ,-22.9068,-43.1729
CLI0034,LOC_SALVADOR,Salvador,BA,-12.9777,-38.5016
CLI0035,LOC_PORTO_ALEGRE,Porto Alegre,RS,-30.0346,-51.2177
CLI0036,LOC_SÃO_PAULO,São Paulo,SP,-23.5505,-46.6333
CLI0037,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
CLI0038,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0039,LOC_FORTALEZA,Fortaleza,CE,-3.7172,-38.5433
CLI0040,LOC_CURITIBA,Curitiba,PR,-25.4284,-49.2733
CLI0041,LOC_CAMPINAS,Campinas,SP,-22.9099,-47.0626
CLI0042,LOC_BRASÍLIA,Brasília,DF,-15.7939,-47.8828
