transacao_id,clienteOrigemId,clienteDestinoId,valor,data,tipo
TX0000001,CLI0605,CLI0093,1436.83,2025-09-22,Pix
TX0000002,CLI0027,CLI1247,1657.71,2026-02-20,Pix
TX0000003,CLI0478,CLI0307,529.83,2025-11-03,Pix
TX0000004,CLI0325,CLI1055,9365.4,2025-12-12,Pix
TX0000005,CLI1162,CLI0793,4075.82,2025-11-20,Pix
TX0000006,CLI0895,CLI1300,283.3,2025-11-01,Pix
TX0000007,CLI0282,CLI0990,2698.9,2025-11-06,Pix
TX0000008,CLI1485,CLI0572,1232.0,2025-11-29,Pix
TX0000009,CLI0523,CLI0673,271.38,2025-10-18,Pix
TX0000010,CLI0783,CLI0423,2801.81,2025-11-28,Pix
TX0000011,CLI0848,CLI0154,1253.86,2025-11-18,Pix
TX0000012,CLI0340,CLI0179,1056.59,2025-12-16,Pix
TX0000013,CLI0701,CLI0049,2075.41,2025-12-08,Pix
TX0000014,CLI0377,CLI1055,7062.93,2025-11-19,Pix
TX0000015,CLI1193,CLI0682,71.94,2025-12-25,Pix
TX0000016,CLI0780,CLI0537,638.25,2025-10-17,Pix
TX0000017,CLI1336,CLI0650,2543.92,2025-09-02,Pix
TX0000018,CLI0375,CLI1055,2683.03,2025-12-04,Pix
TX0000019,CLI1403,CLI0532,1391.18,2025-12-11,Pix
TX0000020,CLI0355,CLI1258,1289.6,2026-02-09,Pix
TX0000021,CLI0516,CLI0984,1464.05,2026-02-09,Pix
TX0000022,CLI0945,CLI1133,5074.02,2025-11-20,Pix
TX0000023,CLI1255,CLI0307,833.0,2025-11-11,Pix
TX0000024,CLI0320,CLI0889,835.0,2026-01-29,Pix
TX0000025,CLI0278,CLI1313,4416.98,2025-09-08,Pix
TX0000026,CLI0351,CLI1371,807.48,2025-11-30,Pix
TX0000027,CLI0465,CLI0156,2502.91,2025-11-11,Pix
TX0000028,CLI1265,CLI0998,14166.05,2026-02-02,Pix
TX0000029,CLI0237,CLI0279,4976.2,2025-12-14,Pix
TX0000030,CLI1135,CLI0419,447.17,2025-12-27,Pix
TX0000031,CLI1402,CLI0793,5539.58,2026-02-16,Pix
TX0000032,CLI0031,CLI0356,1296.35,2025-11-12,Pix
TX0000033,CLI0864,CLI0483,2898.43,2025-11-08,Pix
TX0000034,CLI0566,CLI1458,92.24,2026-02-05,Pix
TX0000035,CLI1069,CLI1181,2405.51,2026-02-14,Pix
TX0000036,CLI0704,CLI0793,14052.55,2025-09-26,Pix
TX0000037,CLI0085,CLI0434,728.82,2026-02-22,Pix
TX0000038,CLI0351,CLI0311,1981.56,2025-12-11,Pix
TX0000039,CLI0071,CLI1055,14956.02,2025-10-06,Pix
TX0000040,CLI1375,CLI0878,1093.5,2025-10-02,Pix
TX0000041,CLI0604,CLI0279,13148.05,2026-02-04,Pix
TX0000042,CLI0196,CLI1313,14711.2,2025-09-29,Pix
TX0000043,CLI1227,CLI0279,13786.54,2025-10-26,Pix
TX0000044,CLI0489,CLI0793,7272.72,2025-11-02,Pix
TX0000045,CLI1222,CLI0231,1544.32,2026-02-16,Pix
TX0000046,CLI0744,CLI0550,1101.7,2025-12-17,Pix
TX0000047,CLI0140,CLI0184,1488.27,2025-12-13,Pix
TX0000048,CLI1424,CLI0279,9236.68,2025-09-04,Pix
TX0000049,CLI0484,CLI0175,298.24,2025-10-08,Pix
TX0000050,CLI1284,CLI0306,722.88,2026-03-01,Pix
TX0000051,CLI0084,CLI0253,757.98,2025-10-25,Pix
TX0000052,CLI0892,CLI0169,2718.67,2025-11-04,Pix
TX0000053,CLI1453,CLI0344,2139.87,2026-01-19,Pix
TX0000054,CLI0950,CLI1475,424.8,2025-11-20,Pix
TX0000055,CLI1049,CLI1431,2489.5,2025-09-07,Pix
TX0000056,CLI0410,CLI1473,2789.74,2026-02-26,Pix
TX0000057,CLI0237,CLI1313,2897.66,2025-12-25,Pix
TX0000058,CLI0969,CLI0185,2271.79,2025-12-20,Pix
TX0000059,CLI1032,CLI1091,2003.58,2026-01-17,Pix
TX0000060,CLI0448,CLI1055,10282.11,2025-11-15,Pix
TX0000061,CLI0517,CLI1123,495.73,2025-09-26,Pix
TX0000062,CLI0459,CLI0770,403.56,2026-01-04,Pix
TX0000063,CLI0120,CLI1055,7323.16,2026-02-13,Pix
TX0000064,CLI0935,CLI1428,2882.67,2026-02-17,Pix
